1. abate:  (of something unpleasant or severe) become less intense or widespread
Ex:  the storm abated

2. abscond:  to depart in a sudden or secret manner esp to avoid capture and legal prosecution
Ex:  the cashier absconded with the money

3. acumen:  the ability to make good judgements and take quick decisions
Ex:  she has a sound business acumen

4. adulation:  excessive admiration or praise
Ex:  he found it difficult to cope with the adulation of the fans

5. adulterate:  to reduce purity by combining inferior ingredients
Ex:  the brewer is said to adulterate his beer

6. aggrandize:  to increase in intensity, power, influence
Ex:  you buy an estate and sink millions of dollars into its improvement, then you are actually aggrandizing the estate

7. alacrity:  cheerful readiness, promptness or willingness
Ex:  we accepted the invitation with alacrity

8. anachronism:  something or someone that feels out of place in terms of historical or chronological context
Ex:  the town is a throwback to medieval times, an anachronism that has survived the passing years

9. approbation:  an expression of approval or praise
Ex:  a term of approbation

10. astringent:  sharp or severe or bitter or acerbic in manner or style; 
Ex:  his subversive and astringent humour

11. aver:  to assert or affirm with confidence; to state as a fact
Ex:  he averred that he was innocent of the allegations

12. axiomatic:  taken as given; possessing self evident truth
Ex:  after vietnam, it was axiomatic that the press would approach those in power with a skepticism verging on cynicism

13. bombastic:  pompous, grandiloquent
Ex:  and most live music is bombastic, because that's the only way to make money in 
2014

14. cacophony:  discordant sound; harsh jarring
Ex:  a cacophony of deafening alarm bells

15. canonical:  pertaining to accepted traditions or standards or canons
Ex:  the canonical rites of roman church

16. caustic:  1. (adj) burning or stinging; causing corrosion; 
2. (adj) sarcastic in a scathing and bitter way
Ex:  1. a caustic cleaner; 
2. the players were making caustic comments about the refereeing

17. chary:  wary; cautiously or suspiciously reluctant to do something
Ex:  she had been chary of telling the whole truth

18. chicanery:  the use of deception or trickery or subterfuge to achieve one's purpose
Ex:  storylines packed with political chicanery

19. complaisance:  the willingness to comply with the wishes of others
Ex:  there are too many complaisant doctors signing sick notes

20. connoisseur:  an informed and astute judge in matters of taste; expert
Ex:  a connoisseur of music

21. contentious:  causing or likely to cause an argument; controversial
Ex:  a contentious issue

22. convention:  a generally agreed upon practice or attitude
Ex:  ..........................

23. cynicism:  an inclination to believe that people are motivated purely by self-interest; scepticism
Ex:  public cynicism about politics

24. desiccate:  (adj) lacking vitality or spirit; lifeless
Ex:  a desiccate romance

25. disabuse:  to undeceive or to set right
Ex:  he quickly disabused me of my fanciful notions"

26. discordant:  conflicting or dissonant or harsh in sound
Ex:  the operative principle of democracy is a balance of discordant qualities

27. discretion:  the quality of behaving or speaking in such a way as to avoid causing offence or revealing confidential information
Ex:  she knew she could rely on his discretion

28. disparage:  to belittle or express a negative opinion of
Ex:  she disparaged her students' efforts

29. divulge:  make known to the public information that was previously known only to a few people or that was meant to be kept a secret
Ex:  i do not want to divulge my plans at the moment

30. ebullience:  the quality of lively or enthusiastic expression of thoughts and feelings
Ex:  the ebullience of happy children

31. effrontery:  extreme boldness or presumptuousness 
Ex:  one juror had the effrontery to challenge the coroner's decision

32. elegy:  (in modern literature) a poem of serious reflection, typically a lament for the dead'
Ex:  the song passed gradually into an elegy, plaintive and full of pain.

33. emollient:  1. (adj) attempting to avoid confrontation or anger; calming or conciliatory; 
2. (adj) having the quality of softening or soothing the skin
Ex:  1. the president's emollient approach to the differences; 
2. a rich emollient shampoo

34. empirical:  based on observation or experiments
Ex:  they provided considerable empirical evidence to support their argument

35. enigmatic:  difficult to interpret or understand; mysterious
Ex:  he took the money with an enigmatic smile

36. ennui:  a feeling of listlessness and dissatisfaction arising from a lack of occupation or excitement
Ex:  he succumbed to ennui and despair

37. eulogy:  a speech or piece of writing that praises someone or something highly, especially a tribute to someone who has just died
Ex:  a eulogy to the queen mother

38. evanescent:  ​ lasting for only a short time, then disappearing quickly and being forgotten
Ex:  about a sudden hillside, brilliantly blue, the evanescent mist hung over the heavy fronds, going out in the sunlight that was breaking through a grey sky

39. exculpate:  exonerate
